Andrew Beck,1.6,23,15,5,10,7,82,11.7,0,5,29,0.5,5.5,70.00%,8.2,1,3,0,1,3,3,0.2,0.1,8,10.6,85,24.33,98.53,4.05,0.87,6.93,5.20,54.40,10.46,0.53,0.33
Andy Isabella,0,23,14,1,13,9,189,21,1,4,88,0.6,13.5,69.20%,14.5,4,15,0,0,6,3.8,1.1,0.3,13,15.7,204,1.27,11.87,9.37,0.00,21.53,12.73,157.27,12.35,0.80,0.13
Anthony Firkser,0,24,14,1,22,13,199,15.3,1,9,39,0.9,14.2,59.10%,9,,,,0,,,,,13,15.3,199,0.07,0.00,0.00,0.00,6.40,4.60,49.87,10.84,0.33,0.07
Anthony Miller,1.2,25,15,6,84,51,651,12.8,2,34,35,3.4,43.4,60.70%,7.8,1,-1,0,0,-1,-1,-0.1,0.1,52,12.5,650,0.40,3.33,8.33,0.00,17.20,9.53,122.40,12.84,0.67,0.07
Anthony Sherman,0,31,15,0,3,2,22,11,0,2,15,0.1,1.5,66.70%,7.3,4,9,0,3,5,2.3,0.6,0.3,6,5.2,31,23.07,84.67,3.67,0.93,7.20,5.47,38.40,7.02,0.13,0.07
Antonio Callaway,0,22,4,2,15,8,89,11.1,0,3,41,2,22.3,53.30%,5.9,,,,0,,,,,8,11.1,89,0.47,3.73,8.00,0.00,22.60,13.33,166.27,12.47,0.73,0.27
Ashton Dulin,0,22,12,0,2,2,17,8.5,0,0,13,0.2,1.4,100.00%,8.5,,,,0,,,,,2,8.5,17,0.40,3.40,8.50,0.07,22.20,14.47,180.60,12.48,0.80,0.07
Austin Ekeler,11.9,24,15,8,97,83,950,11.4,8,40,84,5.5,63.3,85.60%,9.8,123,511,3,29,35,4.2,34.1,8.2,206,7.1,1461,20.87,81.53,3.91,0.73,7.40,5.80,51.47,8.87,0.40,0.00
Austin Hooper,15.2,25,12,9,88,68,742,10.9,6,38,35,5.7,61.8,77.30%,8.4,,,,0,,,,,68,10.9,742,0.07,0.27,4.00,0.00,6.00,4.20,51.20,12.19,0.47,0.00
Ben Koyack,0,26,10,5,3,1,9,9,0,0,9,0.1,0.9,33.30%,3,,,,0,,,,,1,9,9,0.00,0.00,0.00,0.00,7.60,4.87,56.00,11.51,0.33,0.00
Ben Watson,4.5,39,9,7,23,16,169,10.6,0,9,26,1.8,18.8,69.60%,7.3,,,,0,,,,,16,10.6,169,0.00,0.00,0.00,0.00,5.27,3.80,36.20,9.53,0.33,0.00
Bennie Fowler,0,28,8,2,36,23,193,8.4,0,12,17,2.9,24.1,63.90%,5.4,1,20,0,1,20,20,2.5,0.1,24,8.9,213,0.73,3.93,5.36,0.07,16.87,11.67,142.27,12.19,1.20,0.13
Benny Snell,1.4,21,12,1,4,3,23,7.7,0,0,14,0.3,1.9,75.00%,5.8,90,335,1,15,23,3.7,27.9,7.5,93,3.8,358,21.27,67.53,3.18,0.67,7.47,5.73,45.33,7.91,0.13,0.07
Bilal Powell,1.8,31,12,1,12,7,33,4.7,0,0,9,0.6,2.8,58.30%,2.8,52,202,0,11,17,3.9,16.8,4.3,59,4,235,23.40,87.80,3.75,0.27,7.00,4.87,36.67,7.53,0.13,0.27
Blake Bell,3.5,28,14,7,13,7,66,9.4,0,3,30,0.5,4.7,53.80%,5.1,,,,0,,,,,7,9.4,66,0.00,0.00,0.00,0.00,8.53,6.27,57.73,9.21,0.33,0.00
Blake Jarwin,2.4,25,15,7,40,31,365,11.8,3,17,42,2.1,24.3,77.50%,9.1,,,,0,,,,,31,11.8,365,0.00,0.00,0.00,0.00,5.67,3.80,38.87,10.23,0.27,0.07
Bo Scarbrough,3.4,23,5,5,4,1,5,5,0,0,5,0.2,1,25.00%,1.3,80,335,1,14,30,4.2,67,16,81,4.2,340,23.73,94.00,3.96,0.47,6.53,5.20,34.80,6.69,0.13,0.20
Bobo Wilson,0,24,6,1,11,3,35,11.7,0,2,14,0.5,5.8,27.30%,3.2,,,,0,,,,,3,11.7,35,0.40,0.07,0.17,0.00,20.67,12.27,166.47,13.57,1.13,0.00
Boston Scott,7.9,24,10,2,20,20,120,6,0,7,17,2,12,100.00%,6,42,191,2,12,25,4.5,19.1,4.2,62,5,311,20.40,81.40,3.99,0.73,7.93,6.13,47.00,7.66,0.13,0.13
Brandin Cooks,13.9,26,13,13,67,39,543,13.9,2,29,57,3,41.8,58.20%,8.1,6,52,0,3,27,8.7,4,0.5,45,13.2,595,1.13,7.53,6.65,0.07,19.27,11.53,129.13,11.20,1.00,0.27
Brandon Bolden,0,29,14,2,11,9,111,12.3,1,6,29,0.6,7.9,81.80%,10.1,15,68,3,5,21,4.5,4.9,1.1,24,7.5,179,19.93,89.27,4.48,0.60,7.47,5.47,42.33,7.74,0.20,0.13
Brandon Zylstra,1.3,26,7,0,4,2,10,5,0,1,7,0.3,1.4,50.00%,2.5,,,,0,,,,,2,5,10,0.67,5.73,8.60,0.13,18.00,12.20,162.33,13.31,1.07,0.00
Braxton Berrios,0,24,15,0,11,5,104,20.8,0,2,69,0.3,6.9,45.50%,9.5,,,,0,,,,,5,20.8,104,0.33,2.60,7.80,0.00,18.80,11.07,145.73,13.17,0.87,0.20
