Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
Reggie Bonnafon,CAR,23,RB,14,0,7,4,18,4.5,0,0,7,0.3,1.3,0.57,2.6,12,101,1,2,59,8.4,7.2,0.9,16,7.4,119,1,0
Adam Shaheen,CHI,25,te,8,2,13,9,74,8.2,0,3,18,1.1,9.3,0.69,5.7,0,0,0,0,0,0,0,0,9,8.2,74,0,1
Allen Robinson,CHI,26,WR,14,13,130,83,1023,12.3,7,54,49,5.9,73.1,0.64,7.9,0,0,0,0,0,0,0,0,83,12.3,1023,7,0
Anthony Miller,CHI,25,wr,14,5,82,50,649,13,2,34,35,3.6,46.4,0.61,7.9,1,-1,0,0,-1,-1,-0.1,0.1,51,12.7,648,2,1
Ben Braunecker,CHI,25,te,11,3,11,6,59,9.8,1,5,18,0.5,5.4,0.55,5.4,0,0,0,0,0,0,0,0,6,9.8,59,1,0
Cordarrelle Patterson,CHI,28,wr,14,4,16,10,78,7.8,0,3,33,0.7,5.6,0.63,4.9,14,73,0,2,46,5.2,5.2,1,24,6.3,151,0,0
David Montgomery,CHI,22,RB,14,7,34,24,183,7.6,1,7,30,1.7,13.1,0.71,5.4,206,719,5,39,55,3.5,51.4,14.7,230,3.9,902,6,2
Javon Wims,CHI,25,wr,14,4,23,12,137,11.4,1,5,37,0.9,9.8,0.52,6,0,0,0,0,0,0,0,0,12,11.4,137,1,0
Jesper Horsted,CHI,22,te,4,1,9,7,67,9.6,1,3,18,1.8,16.8,0.78,7.4,0,0,0,0,0,0,0,0,7,9.6,67,1,1
Riley Ridley,CHI,23,WR,3,0,3,3,15,5,0,1,13,1,5,1,5,0,0,0,0,0,0,0,0,3,5,15,0,0
Tarik Cohen,CHI,24,RB,14,10,90,67,387,5.8,3,16,31,4.8,27.6,0.74,4.3,58,185,0,13,13,3.2,13.2,4.1,125,4.6,572,3,3
Taylor Gabriel,CHI,28,WR,9,7,48,29,353,12.2,4,17,53,3.2,39.2,0.6,7.4,3,20,0,1,14,6.7,2.2,0.3,32,11.7,373,4,0
Trey Burton,CHI,28,te,8,5,24,14,84,6,0,5,16,1.8,10.5,0.58,3.5,0,0,0,0,0,0,0,0,14,6,84,0,0
Alex Erickson,CIN,27,wr,14,4,65,36,458,12.7,0,22,52,2.6,32.7,0.55,7,4,28,0,2,17,7,2,0.3,40,12.2,486,0,4
Auden Tate,CIN,22,WR,12,10,80,40,575,14.4,1,29,33,3.3,47.9,0.5,7.2,0,0,0,0,0,0,0,0,40,14.4,575,1,1
C.J. Uzomah,CIN,26,TE,14,14,30,18,180,10,0,8,36,1.3,12.9,0.6,6,0,0,0,0,0,0,0,0,18,10,180,0,0
Cethan Carter,CIN,24,TE,13,0,2,2,13,6.5,1,2,8,0.2,1,1,6.5,0,0,0,0,0,0,0,0,2,6.5,13,1,0
Damion Willis,CIN,22,wr,10,2,16,9,82,9.1,0,3,17,0.9,8.2,0.56,5.1,0,0,0,0,0,0,0,0,9,9.1,82,0,0
Drew Sample,CIN,23,te,9,2,6,5,30,6,0,1,21,0.6,3.3,0.83,5,0,0,0,0,0,0,0,0,5,6,30,0,0
Giovani Bernard,CIN,28,rb,14,2,39,28,222,7.9,0,7,35,2,15.9,0.72,5.7,48,163,0,9,25,3.4,11.6,3.4,76,5.1,385,0,2
Joe Mixon,CIN,23,RB,14,13,42,32,250,7.8,3,12,33,2.3,17.9,0.76,6,231,925,3,49,30,4,66.1,16.5,263,4.5,1175,6,0
John Ross,CIN,25,wr,6,6,38,20,380,19,3,15,66,3.3,63.3,0.53,10,0,0,0,0,0,0,0,0,20,19,380,3,1
Stanley Morgan,CIN,23,WR,10,0,10,3,18,6,0,0,9,0.3,1.8,0.3,1.8,0,0,0,0,0,0,0,0,3,6,18,0,0
Tyler Boyd,CIN,25,WR,14,13,126,76,859,11.3,3,40,47,5.4,61.4,0.6,6.8,4,23,0,1,10,5.8,1.6,0.3,80,11,882,3,2
Tyler Eifert,CIN,29,te,14,4,53,37,345,9.3,2,19,27,2.6,24.6,0.7,6.5,0,0,0,0,0,0,0,0,37,9.3,345,2,0
Antonio Callaway,CLE,22,wr,4,2,15,8,89,11.1,0,3,41,2,22.3,0.53,5.9,0,0,0,0,0,0,0,0,8,11.1,89,0,0
Damion Ratley,CLE,24,wr,11,3,18,10,136,13.6,0,9,29,0.9,12.4,0.56,7.6,0,0,0,0,0,0,0,0,10,13.6,136,0,0
David Njoku,CLE,23,te,3,1,10,5,41,8.2,1,3,18,1.7,13.7,0.5,4.1,0,0,0,0,0,0,0,0,5,8.2,41,1,0
Demetrius Harris,CLE,28,te,13,5,23,14,148,10.6,2,9,23,1.1,11.4,0.61,6.4,0,0,0,0,0,0,0,0,14,10.6,148,2,0
Dontrell Hilliard,CLE,24,RB,13,0,14,11,88,8,0,4,19,0.8,6.8,0.79,6.3,13,49,2,3,11,3.8,3.8,1,24,5.7,137,2,2
Jarvis Landry,CLE,27,WR,14,14,123,74,1018,13.8,5,50,65,5.3,72.7,0.6,8.3,1,10,0,1,10,10,0.7,0.1,75,13.7,1028,5,0
Kareem Hunt,CLE,24,rb,6,2,36,30,220,7.3,1,12,29,5,36.7,0.83,6.1,38,167,2,8,16,4.4,27.8,6.3,68,5.7,387,3,1
KhaDarel Hodge,CLE,24,WR,14,0,6,2,51,25.5,0,2,41,0.1,3.6,0.33,8.5,0,0,0,0,0,0,0,0,2,25.5,51,0,0
Nick Chubb,CLE,24,RB,14,14,46,35,277,7.9,0,13,32,2.5,19.8,0.76,6,270,1408,8,59,88,5.2,100.6,19.3,305,5.5,1685,8,3
Odell Beckham,CLE,27,WR,14,14,121,67,910,13.6,2,38,89,4.8,65,0.55,7.5,3,10,0,1,11,3.3,0.7,0.2,70,13.1,920,2,1
Pharaoh Brown,CLE,25,te,9,6,3,2,27,13.5,0,1,18,0.2,3,0.67,9,0,0,0,0,0,0,0,0,2,13.5,27,0,0
Rashard Higgins,CLE,25,wr,9,1,11,4,55,13.8,1,3,35,0.4,6.1,0.36,5,0,0,0,0,0,0,0,0,4,13.8,55,1,0
Ricky Seals-Jones,CLE,24,te,12,2,20,13,206,15.8,4,9,59,1.1,17.2,0.65,10.3,0,0,0,0,0,0,0,0,13,15.8,206,4,1
