Player,Actual,Scrim yds,TOT TD,Fmbl,Rec,Tgt,Att,Age,Rush yds,Rec yds,Yds/rec,Rec TD,Rec 1D,Catch %,Rushing TD,Rush 1D,Rush long,Rec long,Yards/att,Touch,Yards/touch,Scrim yds,TOT TD,Fmbl,Rec,Tgt,Att,Age,Rush yds,Rec yds,Yds/rec,Rec TD,Rec 1D,Catch %,Rushing TD,Rush 1D,Rush long,Rec long,Yards/att,Touch,Yards/touch
Travis Kelce,163.5,52.63636363636363,0.30303030303030304,0.18181818181818182,4.212121212121212,5.757575757575758,0.0,25.0,0.0,52.63636363636363,8.366666666666667,0.30303030303030304,2.606060606060606,48.96666666666667,0.0,0.0,0.0,25.333333333333332,0.0,4.212121212121212,8.366666666666667,54.6875,0.3125,0.125,4.5,6.4375,0.0,26,0.0,54.6875,12.2,0.3125,2.5,69.9,0.0,0.0,0,42.0,0,4.5,12.2
Travis Kelce,133.5,50.705882352941174,0.29411764705882354,0.23529411764705882,3.9411764705882355,5.117647058823529,0.0,24.5,0.0,50.705882352941174,6.45,0.29411764705882354,2.7058823529411766,38.5,0.0,0.0,0.0,17.0,0.0,3.9411764705882355,6.45,53.875,0.3125,0.25,4.1875,5.4375,0.0,25,0.0,53.875,12.9,0.3125,2.875,77.0,0.0,0.0,0,34.0,0,4.1875,12.9
Travis Kelce,131.2,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0
Keenan Allen,9.3,69.02702702702703,0.43243243243243246,0.13513513513513514,5.8108108108108105,8.513513513513514,0.0,22.0,0.0,69.02702702702703,11.9,0.43243243243243246,3.4864864864864864,68.83333333333333,0.0,0.0,0.0,38.666666666666664,0.0,5.8108108108108105,11.9,90.625,0.5,0.125,8.375,11.125,0.0,23,0.0,90.625,10.8,0.5,4.25,75.3,0.0,0.0,0,38.0,0,8.375,10.8
Keenan Allen,111.5,63.06896551724138,0.41379310344827586,0.13793103448275862,5.103448275862069,7.793103448275862,0.0,21.5,0.0,63.06896551724138,12.45,0.41379310344827586,3.2758620689655173,65.6,0.0,0.0,0.0,39.0,0.0,5.103448275862069,12.45,55.92857142857143,0.2857142857142857,0.14285714285714285,5.5,8.642857142857142,0.0,22,0.0,55.92857142857143,10.2,0.2857142857142857,2.9285714285714284,63.6,0.0,0.0,0,35.0,0,5.5,10.2
Keenan Allen,118.8,69.73333333333333,0.5333333333333333,0.13333333333333333,4.733333333333333,7.0,0.0,21.0,0.0,69.73333333333333,14.7,0.5333333333333333,3.6,67.6,0.0,0.0,0.0,43.0,0.0,4.733333333333333,14.7,69.73333333333333,0.5333333333333333,0.13333333333333333,4.733333333333333,7.0,0.0,21,0.0,69.73333333333333,14.7,0.5333333333333333,3.6,67.6,0.0,0.0,0,43.0,0,4.733333333333333,14.7
DeVante Parker,43.9,44.372093023255815,0.18604651162790697,0.023255813953488372,3.2325581395348837,5.4186046511627906,0.0,23.0,0.0,44.372093023255815,14.699999999999998,0.18604651162790697,2.0697674418604652,58.6,0.0,0.0,0.0,47.0,0.0,3.2325581395348837,14.699999999999998,51.53846153846154,0.07692307692307693,0.07692307692307693,4.384615384615385,7.384615384615385,0.0,24,0.0,51.53846153846154,11.8,0.07692307692307693,2.6153846153846154,59.4,0.0,0.0,0,36.0,0,4.384615384615385,11.8
DeVante Parker,88.0,41.266666666666666,0.23333333333333334,0.0,2.7333333333333334,4.566666666666666,0.0,22.5,0.0,41.266666666666666,16.15,0.23333333333333334,1.8333333333333333,58.2,0.0,0.0,0.0,52.5,0.0,2.7333333333333334,16.15,49.6,0.26666666666666666,0.0,3.7333333333333334,5.8,0.0,23,0.0,49.6,13.3,0.26666666666666666,2.3333333333333335,64.4,0.0,0.0,0,56.0,0,3.7333333333333334,13.3
DeVante Parker,115.9,32.93333333333333,0.2,0.0,1.7333333333333334,3.3333333333333335,0.0,22.0,0.0,32.93333333333333,19.0,0.2,1.3333333333333333,52.0,0.0,0.0,0.0,49.0,0.0,1.7333333333333334,19.0,32.93333333333333,0.2,0.0,1.7333333333333334,3.3333333333333335,0.0,22,0.0,32.93333333333333,19.0,0.2,1.3333333333333333,52.0,0.0,0.0,0,49.0,0,1.7333333333333334,19.0
Amari Cooper,170.0,63.130434782608695,0.391304347826087,0.08695652173913043,4.413043478260869,7.782608695652174,0.10869565217391304,22.0,0.021739130434782608,63.108695652173914,14.333333333333334,0.391304347826087,2.6956521739130435,56.1,0.0,0.021739130434782608,2.0,73.0,1.0,4.521739130434782,13.966666666666667,48.857142857142854,0.5,0.07142857142857142,3.4285714285714284,6.857142857142857,0.07142857142857142,23,0.2857142857142857,48.57142857142857,14.2,0.5,2.0,50.0,0.0,0.07142857142857142,4.0,87.0,4.0,3.5,14.0
